rank_ecr,player_name,player_short_name,player_team_id,player_positions,player_opponent,pos_rank,r2p_pts,rank_min,rank_max,rank_ave,rank_std,player_bye_week,player_owned_avg,player_page_url,player_id
73,Emanuel Wilson,E. Wilson,GB,RB,at DAL,RB73,1.6,66,78,73.82,3.21,5,1.3,https://www.fantasypros.com/nfl/players/emanuel-wilson.php,25885
74,Julius Chestnut,J. Chestnut,TEN,RB,at HOU,RB74,1.6,70,83,77.00,3.62,10,1.2,https://www.fantasypros.com/nfl/players/julius-chestnut.php,24689
75,Tahj Brooks,T. Brooks,CIN,RB,at DEN,RB75,1.6,67,84,75.30,5.71,10,2.1,https://www.fantasypros.com/nfl/players/tahj-brooks.php,26212
76,Hassan Haskins,H. Haskins,LAC,RB,at NYG,RB76,1.5,64,83,70.50,5.96,12,1.1,https://www.fantasypros.com/nfl/players/hassan-haskins.php,23798
77,Kaleb Johnson,K. Johnson,PIT,RB,vs. MIN,RB77,1.5,65,88,76.11,7.14,5,61.4,https://www.fantasypros.com/nfl/players/kaleb-johnson-rb.php,27165
78,Tyrone Tracy Jr.,T. Tracy Jr.,NYG,RB,vs. LAC,RB78,1.4,57,102,74.50,14.77,14,83.6,https://www.fantasypros.com/nfl/players/tyrone-tracy-jr.php,22980
79,Kimani Vidal,K. Vidal,LAC,RB,at NYG,RB79,1.4,59,124,82.43,18.99,12,0.6,https://www.fantasypros.com/nfl/players/kimani-vidal.php,26355
80,Trevor Etienne,T. Etienne,CAR,RB,at NE,RB80,1.3,80,85,81.83,1.67,14,1.5,https://www.fantasypros.com/nfl/players/trevor-etienne.php,25393
81,Dylan Laube,D. Laube,LV,RB,vs. CHI,RB81,1.2,74,89,84.29,4.43,8,1.1,https://www.fantasypros.com/nfl/players/dylan-laube.php,26194
82,Roschon Johnson,R. Johnson,CHI,RB,at LV,RB82,1.1,78,91,82.17,4.45,5,4.7,https://www.fantasypros.com/nfl/players/roschon-johnson.php,25322
83,Jaylen Wright,J. Wright,MIA,RB,vs. NYJ,RB83,1.1,73,90,82.83,5.81,12,7,https://www.fantasypros.com/nfl/players/jaylen-wright.php,25987
84,Dare Ogunbowale,D. Ogunbowale,HOU,RB,vs. TEN,RB84,1.1,75,88,83.33,4.27,6,0.7,https://www.fantasypros.com/nfl/players/dare-ogunbowale.php,16879
