rank_ecr,player_name,player_short_name,player_team_id,player_positions,player_opponent,pos_rank,r2p_pts,rank_min,rank_max,rank_ave,rank_std,player_bye_week,player_owned_avg,player_page_url,player_id
83,Roschon Johnson,R. Johnson,CHI,RB,at LV,RB83,1.0,77,92,83.60,5.82,5,4.7,https://www.fantasypros.com/nfl/players/roschon-johnson.php,25322
84,Jaylen Wright,J. Wright,MIA,RB,vs. NYJ,RB84,1.0,76,90,83.80,4.49,12,7,https://www.fantasypros.com/nfl/players/jaylen-wright.php,25987
85,Dylan Laube,D. Laube,LV,RB,vs. CHI,RB85,1.0,83,90,87.50,2.22,8,1.1,https://www.fantasypros.com/nfl/players/dylan-laube.php,26194
86,Tyler Goodson,T. Goodson,IND,RB,at LAR,RB86,0.9,78,91,85.40,4.32,11,0.7,https://www.fantasypros.com/nfl/players/tyler-goodson.php,22976
87,Devin Neal,D. Neal,NO,RB,at BUF,RB87,0.8,81,91,85.80,3.19,11,2.4,https://www.fantasypros.com/nfl/players/devin-neal.php,23682
88,Jarquez Hunter,J. Hunter,LAR,RB,vs. IND,RB88,0.8,79,95,87.20,5.15,8,1.7,https://www.fantasypros.com/nfl/players/jarquez-hunter.php,24335
89,Isaac Guerendo,I. Guerendo,SF,RB,vs. JAC,RB89,0.8,75,95,88.20,7.03,14,7.9,https://www.fantasypros.com/nfl/players/isaac-guerendo.php,26392
90,Will Shipley,W. Shipley,PHI,RB,at TB,RB90,0.8,84,92,88.40,3.14,9,10.8,https://www.fantasypros.com/nfl/players/will-shipley.php,22930
91,Dameon Pierce,D. Pierce,HOU,RB,vs. TEN,RB91,0.7,83,95,88.50,4.33,6,5.5,https://www.fantasypros.com/nfl/players/dameon-pierce.php,22947
92,Dare Ogunbowale,D. Ogunbowale,HOU,RB,vs. TEN,RB92,0.7,88,93,91.20,1.94,6,0.7,https://www.fantasypros.com/nfl/players/dare-ogunbowale.php,16879
93,Raheim Sanders,R. Sanders,CLE,RB,at DET,RB93,0.7,86,96,89.50,4.09,9,0.6,https://www.fantasypros.com/nfl/players/raheim-sanders.php,24351
94,Trey Sermon,T. Sermon,PIT,RB,vs. MIN,RB94,0.6,81,96,89.33,6.24,5,1,https://www.fantasypros.com/nfl/players/trey-sermon.php,19425
95,Craig Reynolds,C. Reynolds,DET,RB,vs. CLE,RB95,0.6,89,98,93.00,3.39,8,0.6,https://www.fantasypros.com/nfl/players/craig-reynolds.php,19074
96,Jaleel McLaughlin,J. McLaughlin,DEN,RB,vs. CIN,RB96,0.6,87,97,93.25,3.77,12,1.2,https://www.fantasypros.com/nfl/players/jaleel-mclaughlin.php,25876
97,Sincere McCormick,S. McCormick,SF,RB,vs. JAC,RB97,0.6,84,93,88.50,4.50,14,0.6,https://www.fantasypros.com/nfl/players/sincere-mccormick.php,23172
98,Alec Ingold,A. Ingold,MIA,RB,vs. NYJ,RB98,0.5,80,98,89.00,9.00,12,0.6,https://www.fantasypros.com/nfl/players/alec-ingold.php,18571
99,Donovan Edwards,D. Edwards,WAS,RB,at ATL,RB99,0.4,91,97,94.00,3.00,12,1,https://www.fantasypros.com/nfl/players/donovan-edwards.php,23014
100,Rasheen Ali,R. Ali,BAL,RB,at KC,RB100,0.4,92,99,95.50,3.50,7,0.6,https://www.fantasypros.com/nfl/players/rasheen-ali.php,25983
101,Jaydon Blue,J. Blue,DAL,RB,vs. GB,RB101,0.3,94,97,95.50,1.50,10,30,https://www.fantasypros.com/nfl/players/jaydon-blue.php,24344
