rank_ecr,player_name,player_short_name,player_team_id,player_positions,player_opponent,pos_rank,r2p_pts,rank_min,rank_max,rank_ave,rank_std,player_bye_week,player_owned_avg,player_page_url,player_id
47,Kayshon Boutte,K. Boutte,NE,WR,vs. CAR,WR47,6.2,44,55,48.91,3.03,14,9,https://www.fantasypros.com/nfl/players/kayshon-boutte.php,22989
48,Tre Tucker,T. Tucker,LV,WR,vs. CHI,WR48,6.2,45,63,49.55,5.11,8,6.6,https://www.fantasypros.com/nfl/players/tre-tucker.php,25337
49,Wan'Dale Robinson,W. Robinson,NYG,WR,vs. LAC,WR49,6.1,47,55,50.73,2.49,14,37,https://www.fantasypros.com/nfl/players/wandale-robinson.php,22985
50,Rashid Shaheed,R. Shaheed,NO,WR,at BUF,WR50,6.1,42,55,50.91,4.76,11,69,https://www.fantasypros.com/nfl/players/rashid-shaheed.php,24687
51,Stefon Diggs,S. Diggs,NE,WR,vs. CAR,WR51,6.1,46,54,50.91,2.15,14,86.4,https://www.fantasypros.com/nfl/players/stefon-diggs.php,13981
52,Elic Ayomanor,E. Ayomanor,TEN,WR,at HOU,WR52,6.1,47,53,51.09,1.73,10,25.2,https://www.fantasypros.com/nfl/players/elic-ayomanor.php,27059
53,Tyquan Thornton,T. Thornton,KC,WR,vs. BAL,WR53,6.0,40,66,52.09,8.28,10,1.7,https://www.fantasypros.com/nfl/players/tyquan-thornton.php,22913
54,Troy Franklin,T. Franklin,DEN,WR,vs. CIN,WR54,6.0,37,62,52.64,6.54,12,33.3,https://www.fantasypros.com/nfl/players/troy-franklin.php,23092
55,Josh Downs,J. Downs,IND,WR,at LAR,WR55,6.0,49,57,53.64,2.42,11,66.1,https://www.fantasypros.com/nfl/players/josh-downs.php,24706
56,Xavier Worthy,X. Worthy,KC,WR,vs. BAL,WR56,5.9,39,84,55.36,11.71,10,94.7,https://www.fantasypros.com/nfl/players/xavier-worthy.php,23019
57,Christian Kirk,C. Kirk,HOU,WR,vs. TEN,WR57,5.7,49,61,55.91,3.12,6,37.4,https://www.fantasypros.com/nfl/players/christian-kirk.php,17268
58,Dontayvion Wicks,D. Wicks,GB,WR,at DAL,WR58,5.6,54,60,56.73,2.05,5,3.1,https://www.fantasypros.com/nfl/players/dontayvion-wicks.php,24354
59,Cooper Kupp,C. Kupp,SEA,WR,at ARI,WR59,5.6,51,62,58.73,3.65,8,85.9,https://www.fantasypros.com/nfl/players/cooper-kupp.php,16433
60,Calvin Austin III,C. Austin III,PIT,WR,vs. MIN,WR60,5.6,57,60,59.18,0.94,5,9.4,https://www.fantasypros.com/nfl/players/calvin-austin.php,23739
61,Marvin Mims Jr.,M. Mims Jr.,DEN,WR,vs. CIN,WR61,5.5,58,66,62.36,2.01,12,42.1,https://www.fantasypros.com/nfl/players/marvin-mims.php,23080
62,Tory Horton,T. Horton,SEA,WR,at ARI,WR62,5.4,57,70,62.73,3.72,8,4.3,https://www.fantasypros.com/nfl/players/tory-horton.php,26022
63,KaVontae Turpin,K. Turpin,DAL,WR,vs. GB,WR63,5.2,57,68,63.64,3.67,10,4.1,https://www.fantasypros.com/nfl/players/kavontae-turpin.php,18520
64,Rashod Bateman,R. Bateman,BAL,WR,at KC,WR64,5.2,57,68,63.91,3.40,7,32.1,https://www.fantasypros.com/nfl/players/rashod-bateman.php,19794
65,DeAndre Hopkins,D. Hopkins,BAL,WR,at KC,WR65,5.2,64,71,66.00,2.70,7,16.8,https://www.fantasypros.com/nfl/players/deandre-hopkins.php,11606
