rank_ecr,player_name,player_short_name,player_team_id,player_positions,player_opponent,pos_rank,r2p_pts,rank_min,rank_max,rank_ave,rank_std,player_bye_week,player_owned_avg,player_page_url,player_id
49,Luke Schoonmaker,L. Schoonmaker,DAL,TE,vs. GB,TE49,1.9,41,58,48.00,6.28,10,0.6,https://www.fantasypros.com/nfl/players/luke-schoonmaker.php,25267
50,Davis Allen,D. Allen,LAR,TE,vs. IND,TE50,1.9,47,55,50.25,3.11,8,1,https://www.fantasypros.com/nfl/players/davis-allen.php,23761
51,Jeremy Ruckert,J. Ruckert,NYJ,TE,at MIA,TE51,1.9,46,54,50.50,3.20,9,1.2,https://www.fantasypros.com/nfl/players/jeremy-ruckert.php,23742
52,Mitchell Evans,M. Evans,CAR,TE,at NE,TE52,1.7,40,63,51.50,10.11,14,0.6,https://www.fantasypros.com/nfl/players/mitchell-evans.php,27138
53,Ben Sinnott,B. Sinnott,WAS,TE,at ATL,TE53,1.7,49,65,53.50,6.65,12,1.2,https://www.fantasypros.com/nfl/players/ben-sinnott.php,26310
54,Charlie Kolar,C. Kolar,BAL,TE,at KC,TE54,1.2,46,52,49.00,3.00,7,0.1,https://www.fantasypros.com/nfl/players/charlie-kolar.php,22756
55,Hunter Long,H. Long,JAC,TE,at SF,TE55,1.5,42,72,57.00,15.00,8,0,https://www.fantasypros.com/nfl/players/hunter-long.php,22783
56,Brock Wright,B. Wright,DET,TE,vs. CLE,TE56,1.1,48,59,53.50,5.50,8,0.6,https://www.fantasypros.com/nfl/players/brock-wright.php,23341
57,Darnell Washington,D. Washington,PIT,TE,vs. MIN,TE57,1.1,54,61,57.50,3.50,5,1,https://www.fantasypros.com/nfl/players/darnell-washington.php,22967
58,Josh Oliver,J. Oliver,MIN,TE,at PIT,TE58,0.9,56,59,57.50,1.50,6,0.7,https://www.fantasypros.com/nfl/players/josh-oliver.php,18487
59,Kylen Granson,K. Granson,PHI,TE,at TB,TE59,1.0,55,87,71.00,16.00,9,1.2,https://www.fantasypros.com/nfl/players/kylen-granson.php,22841
60,Harrison Bryant,H. Bryant,HOU,TE,vs. TEN,TE60,1.0,56,64,60.00,4.00,6,0,https://www.fantasypros.com/nfl/players/harrison-bryant.php,19389
61,Stone Smartt,S. Smartt,NYJ,TE,at MIA,TE61,1.0,57,95,76.00,19.00,9,1,https://www.fantasypros.com/nfl/players/stone-smartt.php,24621
62,Grant Calcaterra,G. Calcaterra,PHI,TE,at TB,TE62,0.7,61,76,68.50,7.50,9,0.6,https://www.fantasypros.com/nfl/players/grant-calcaterra.php,24180
